,author id,name,provenience,date,N of works,N of words,N of lemmata,theos count,theos TF
0,tlg0001,Apollonius Rhodius,pagan,-2.5,1,38822,12880,62,0.0016
1,tlg0003,Thucydides,pagan,-4.5,1,150160,33162,38,0.00025
2,tlg0004,Diogenes Laertius,pagan,2.5,1,111053,25885,174,0.00157
3,tlg0005,Theocritus,pagan,-3.0,2,21321,7263,36,0.00169
4,tlg0006,Euripides,pagan,-4.5,13,112900,36539,534,0.00473
5,tlg0007,Plutarch,pagan,1.0,140,1024630,261081,1595,0.00156
6,tlg0008,Athenaeus,pagan,2.0,1,266917,64525,402,0.00151
7,tlg0010,Isocrates,pagan,-4.0,30,119302,28379,74,0.00062
8,tlg0011,Sophocles,pagan,-4.5,8,64763,19017,274,0.00423
9,tlg0012,Homer,pagan,-7.5,3,199840,63299,773,0.00387
10,tlg0013dyon,Homeric hymn,pagan,-6.5,1,146,41,1,0.00685
11,tlg0013deme,Homeric hymn,pagan,-6.0,1,3375,1277,28,0.0083
12,tlg0013apol,Homeric hymn,pagan,-6.0,1,3902,1320,24,0.00615
13,tlg0013herm,Homeric hymn,pagan,-5.0,1,4033,1572,24,0.00595
14,tlg0013aphr,Homeric hymn,pagan,-6.0,1,2049,759,18,0.00878
15,tlg0013dyo2,Homeric hymn,pagan,-5.0,1,427,161,2,0.00468
16,tlg0013pan,Homeric hymn,pagan,-5.0,1,338,140,3,0.00888
17,tlg0014,Demosthenes,pagan,-3.5,63,294305,64945,259,0.00088
18,tlg0015,Herodian,pagan,2.0,1,46751,13062,56,0.0012
19,tlg0016,Herodotus,pagan,-4.5,1,184965,40707,251,0.00136
20,tlg0017,Isaeus,pagan,-4.0,12,34081,7726,3,9e-05
21,tlg0019,Aristophanes,pagan,-4.0,11,98417,24687,326,0.00331
22,tlg0020,Hesiod,pagan,-7.0,3,16193,6143,115,0.0071
23,tlg0023,Oppian,pagan,1.5,1,22765,8013,16,0.0007
24,tlg0024,Oppian of Apamea,pagan,2.0,1,13848,5143,18,0.0013
25,tlg0026,Aeschines,pagan,-3.5,3,48136,11409,49,0.00102
26,tlg0027,Andocides,pagan,-4.0,4,19182,4021,16,0.00083
27,tlg0028,Antiphon,pagan,-4.5,6,20475,4245,21,0.00103
28,tlg0029,Dinarchus,pagan,-3.0,3,12345,2683,15,0.00122
29,tlg0030,Hyperides,pagan,-3.5,6,12718,2673,13,0.00102
30,tlg0031a,,christian,0.5,1,18289,4075,49,0.00268
31,tlg0031b,,christian,0.5,1,11277,2280,48,0.00426
32,tlg0031luke,Luke (the evangelist),christian,0.5,2,37868,8214,286,0.00755
33,tlg0031john,Johnannine literature,christian,0.5,4,18197,3612,146,0.00802
34,tlg0031paul,Paul of Tarsus,christian,0.5,7,24083,6550,431,0.0179
35,tlg0031c,,christian,0.5,1,2423,755,31,0.01279
36,tlg0031d,,christian,0.5,1,1582,449,21,0.01327
37,tlg0031e,,christian,0.5,1,825,239,18,0.02182
38,tlg0031f,,christian,0.5,1,1600,576,22,0.01375
39,tlg0031g,,christian,0.5,1,1248,384,13,0.01042
40,tlg0031h,,christian,0.5,1,661,268,13,0.01967
41,tlg0031i,,christian,0.5,1,4974,1436,68,0.01367
42,tlg0031j,,christian,0.5,1,1735,533,16,0.00922
43,tlg0031k,,christian,0.5,1,1671,534,37,0.02214
44,tlg0031l,,christian,0.5,1,1097,365,7,0.00638
45,tlg0031m,,christian,0.5,1,457,154,4,0.00875
46,tlg0031n,,christian,0.5,1,9859,2996,94,0.00953
47,tlg0032,Xenophon,pagan,-4.0,14,312267,70192,472,0.00151
48,tlg0033,Pindar,pagan,-5.0,4,21395,8779,103,0.00481
49,tlg0034,Lycurgus,pagan,-3.5,1,12560,2947,28,0.00223
50,tlg0035,Moschus,pagan,-1.5,5,3428,1139,6,0.00175
51,tlg0036,Bion of Phlossa,pagan,-1.5,3,1820,575,3,0.00165
52,tlg0057,Galen,pagan,1.5,95,2376857,633368,158,7e-05
53,tlg0058,Aeneas Tacticus,pagan,-3.5,1,14067,3540,0,0.0
54,tlg0059,Plato,pagan,-4.0,37,575007,141444,1154,0.00201
55,tlg0060,Diodorus Siculus,pagan,-0.5,1,183067,45227,157,0.00086
56,tlg0062,Lucian,pagan,1.5,71,281449,68205,446,0.00158
57,tlg0064,Hanno,pagan,-3.5,1,667,198,0,0.0
58,tlg0065,Scylax,pagan,-4.0,1,8765,2166,0,0.0
59,tlg0066,Ps. Dicaearchus,pagan,-3.5,1,2777,724,2,0.00072
60,tlg0067,Agatharchides,pagan,-1.5,1,24245,6980,11,0.00045
61,tlg0068,Pseudo-Scymnus,pagan,-0.5,1,5601,1262,1,0.00018
62,tlg0069,Dionysius Calliphontis,pagan,1.5,1,917,210,1,0.00109
63,tlg0071,Pseudo Arrianus,pagan,3.0,1,6344,1664,3,0.00047
64,tlg0074,Arrian,pagan,1.0,6,113170,25518,86,0.00076
65,tlg0081,Dionysius of Halicarnassus,pagan,-0.5,13,379546,104600,435,0.00115
