doc_id,author,title,not_before,not_after,LAGT4-1?,GLAUX?,OGA?,EXPRECCE?,lagt4-1_author,glaux_AUTHOR_STANDARD,oga_author,lagt4-1_title,lagt_genre,lagt_provenience,lagt_tlg_epithet,lagt_tlg_epithet,glaux_TITLE_STANDARD,oga_title_labels,oga_title_from_print_edition,lagt4-1_not_before,lagt4-1_not_after,glaux_STARTDATE,glaux_ENDDATE,oga_not_before,oga_not_after,oga_date_source,oga_date_source_link,oga_comment_on_chronology,oga_formatted_work_date,lagt4-1_tokencount,glaux_TOKENS,oga_tokencount,lagt4-1_source,lagt4-1_tlg_epithet,lagt4-1_genre,lagt4-1_provenience,glaux_GENRE_STANDARD,glaux_DIALECT,glaux_GLAUX_TEXT_ID,glaux_TLG,glaux_SOURCE,glaux_SOURCE_FORMAT,glaux_TM_TEXT,exprecce_author,exprecce_title,exprecce_not_after,exprecce_not_before,exprecce_edition,exprecce_edition_link,oga_id,oga_print_edition,glaux_tlg_ids,glaux_tokens_sum
ggm0001.ggm001,Anonymous,Anametresis Pontou,1.0,400.0,False,False,True,False,,,Anonymous,,,,,,,Anametresis Pontou,Anametresis Pontou,,,,,1.0,400.0,"Kessler, K. (., & Talbert, R. (. H. N. (2006). Geography. In Brill's New Pauly Online. Brill",https://doi.org/10.1163/1574-9347_bnp_e421860,None,+0001-01/+0400-12,,,422.0,,,,,,,,,,,,,,,,,,1607,"Anonymous. Geographi graeci minores, Volume 1. Müller, Karl, editor. Paris: Ambroise Firmin Didot, 1855.",[nan],0.0
ogl0001.ogl001,Pinytus,De Epistola Pinyti ad Dionysium,101.0,200.0,True,False,True,False,Pinytus,,"Pinytus, Saint, Bishop of Knossos",De Epistola Pinyti ad Dionysium,[],christian,[],[],,De Epistola Pinyti ad Dionysium,De Epistola Pinyti ad Dionysium,101.0,200.0,,,101.0,200.0,"Kritiko Agiologio, Holy Archibisophry of Crete",http://www.iak.gr/gr/ekklisia-kritis/kritiko_agiologio/1305554015.html,Church of Crete Saints' Days Catalogue. The date was deduced based on the date given by the church of Crete.,+0101-01/+0200-12,108.0,,81.0,glaux1,[],[],christian,,,,,,,,,,,,,,1,"Pinytus, Saint, Bishop of Knossos. Reliquiae Sacrae, Volume 1. Routh, Martin Joseph, editor. Oxford: Oxford University Press, 1846.",[nan],0.0
pta0001.pta001,Severian of Gabala,De fide et lege naturae,400.0,409.0,False,False,True,False,,,Severian of Gabala,,,,,,,De fide et lege naturae,Severianus Gabalensis: De fide et lege naturae (Ms Va),,,,,400.0,409.0,,,temporary date of the author life,+0400-01/+0409-12,,,4495.0,,,,,,,,,,,,,,,,,,1694,"Vatikan, Biblioteca Apostolica Vaticana, graecus 1630 (PTAMS00485), transcribed by Annette von Stockhausen",[nan],0.0
pta0001.pta002,Severian of Gabala,De paenitentia et compunctione,400.0,409.0,False,False,True,False,,,Severian of Gabala,,,,,,,De paenitentia et compunctione,Severianus Gabalensis: De paenitentia et compunctione,,,,,400.0,409.0,,,temporary date of the author life,+0400-01/+0409-12,,,6987.0,,,,,,,,,,,,,,,,,,1695,"Jean-Paul Migne (ed.), Patrologia Graeca. Volumen 49. Paris 1859, 323–336",[nan],0.0
pta0001.pta003,Severian of Gabala,In ascensionem domini nostri Iesu Christi et in principium Actorum,400.0,409.0,False,False,True,False,,,Severian of Gabala,,,,,,,In ascensionem domini nostri Iesu Christi et in principium Actorum,Severianus Gabalensis: In ascensionem domini nostri Iesu Christi et in principium Actorum,,,,,400.0,409.0,,,temporary date of the author life,+0400-01/+0409-12,,,12070.0,,,,,,,,,,,,,,,,,,1696,"Richard W. Bishop/Nathalie Rambault, Severian of Gabala, In ascensionem et in principium Actorum (CPG 4187). Introduction and Critical Edition. Sacris Erudiri.  56. , 2017, 113–236",[nan],0.0
pta0001.pta004,Severian of Gabala,De spiritu sancto,400.0,409.0,False,False,True,False,,,Severian of Gabala,,,,,,,De spiritu sancto,Severianus Gabalensis: De spiritu sancto,,,,,400.0,409.0,,,temporary date of the author life,+0400-01/+0409-12,,,8686.0,,,,,,,,,,,,,,,,,,1697,"Jean-Paul Migne (ed.), Patrologia Graeca. Volumen 52. Paris 1862, 813-826",[nan],0.0
pta0001.pta005,Severian of Gabala,De Christo pastore et ove,400.0,409.0,False,False,True,False,,,Severian of Gabala,,,,,,,De Christo pastore et ove,Severianus Gabalensis: De Christo pastore et ove,,,,,400.0,409.0,,,temporary date of the author life,+0400-01/+0409-12,,,5452.0,,,,,,,,,,,,,,,,,,1698,"Jean-Paul Migne (ed.), Patrologia Graeca. Volumen 52. Paris 1862, 827-836",[nan],0.0
pta0001.pta006,Severian of Gabala,In psalmum 96,400.0,409.0,False,False,True,False,,,Severian of Gabala,,,,,,,In psalmum 96,Severianus Gabalensis: In psalmum 96,,,,,400.0,409.0,,,temporary date of the author life,+0400-01/+0409-12,,,6491.0,,,,,,,,,,,,,,,,,,1699,"Jean-Paul Migne (ed.), Patrologia Graeca. Volumen 55. Paris 1862, 603–612",[nan],0.0
pta0001.pta007,Severian of Gabala,In psalmum 95,400.0,409.0,False,False,True,False,,,Severian of Gabala,,,,,,,In psalmum 95,Severianus Gabalensis: In psalmum 95,,,,,400.0,409.0,,,temporary date of the author life,+0400-01/+0409-12,,,5630.0,,,,,,,,,,,,,,,,,,1700,"Jean-Paul Migne (ed.), Patrologia Graeca. Volumen 55. Paris 1862, 619-630",[nan],0.0
pta0001.pta008,Severian of Gabala,Homilia de legislatore,400.0,409.0,False,False,True,False,,,Severian of Gabala,,,,,,,Homilia de legislatore,Severianus Gabalensis: Homilia de legislatore (Ms Pi),,,,,400.0,409.0,,,temporary date of the author life,+0400-01/+0409-12,,,5664.0,,,,,,,,,,,,,,,,,,1701,"Paris, Bibliothèque nationale de France
                            (BNF), Grec 756 (PTAMS00333), transcribed by Mathias Berger",[nan],0.0
